target,model,decile,n,mean_pred,realized
is_strikeout,exp,0,54982,0.007978733759023617,0.00825724782656142
is_strikeout,exp,1,18329,0.13728199441850947,0.14310655245785367
is_strikeout,exp,2,18391,0.20932697960062915,0.2215757707574357
is_strikeout,exp,3,18286,0.2600599011006132,0.27731597943782127
is_strikeout,exp,4,18395,0.3079738816204786,0.3122587659690133
is_strikeout,exp,5,18380,0.34749541500415654,0.34608269858541896
is_strikeout,exp,6,18159,0.39506546417428906,0.4008480643207225
is_strikeout,exp,7,18323,0.4807380218104796,0.49325983736287726
is_strikeout,beast,0,55077,0.008229324589645294,0.007498592879060225
is_strikeout,beast,1,18256,0.1376510204518616,0.1373794916739702
is_strikeout,beast,2,19160,0.20862717803526362,0.21644050104384133
is_strikeout,beast,3,17734,0.2637121853256216,0.2733167926017819
is_strikeout,beast,4,18063,0.31152294624592897,0.3090295078336932
is_strikeout,beast,5,18838,0.35552307970395913,0.3493470644442085
is_strikeout,beast,6,18383,0.4065317403524398,0.4083120274166349
is_strikeout,beast,7,17734,0.49939933739815323,0.5109394383669786
is_strikeout,recency,0,56286,0.010769022294605857,0.010038020111573037
is_strikeout,recency,1,17068,0.14140812522062426,0.14670728849308648
is_strikeout,recency,2,19777,0.22097045026047088,0.22505941244880417
is_strikeout,recency,3,16868,0.2697460176535667,0.2720535926013754
is_strikeout,recency,4,19551,0.3120061108410427,0.3111861285867731
is_strikeout,recency,5,17644,0.3584789359064803,0.356891861255951
is_strikeout,recency,6,17933,0.40631224363596335,0.4014386884514582
is_strikeout,recency,7,18118,0.484194425973758,0.4943150458107959
is_strikeout,recent365,0,55067,0.009657906863940198,0.007990266402745746
is_strikeout,recent365,1,18275,0.16300895575152088,0.1436388508891929
is_strikeout,recent365,2,18814,0.22707384561198418,0.22015520357180823
is_strikeout,recent365,3,18471,0.27321844609065493,0.2654431270640463
is_strikeout,recent365,4,17746,0.3072435870382945,0.3118449227995041
is_strikeout,recent365,5,18576,0.34834238544710844,0.3493217054263566
is_strikeout,recent365,6,19593,0.40462655174688705,0.414637880875823
is_strikeout,recent365,7,16703,0.4880588127742095,0.5021852361851165
is_walk,prod,0,91629,0.0010423825240395387,0.0011240982658328694
is_walk,prod,1,18452,0.013066845728106983,0.014849338825059614
is_walk,prod,2,18665,0.017194049935556458,0.01693008304312885
is_walk,prod,3,17923,0.0595842766668665,0.062433744350834125
is_walk,prod,4,18256,0.26411617886182065,0.2743207712532866
is_walk,prod,5,18320,0.44086879899553977,0.4671943231441048
is_walk,exp,0,91864,0.0010660439162416978,0.0012300792475833842
is_walk,exp,1,18640,0.013239872779527775,0.014324034334763949
is_walk,exp,2,19366,0.017555259219251627,0.017401631725704844
is_walk,exp,3,16912,0.06358104966780559,0.06622516556291391
is_walk,exp,4,18151,0.2665154882695971,0.27320808770866617
is_walk,exp,5,18312,0.4396459117914126,0.46870904325032764
is_walk,beast,0,93455,0.0011940690133446462,0.0013375421325771762
is_walk,beast,1,16520,0.013065108205341552,0.013922518159806295
is_walk,beast,2,18996,0.01747178484392095,0.019425142135186355
is_walk,beast,3,17643,0.05819018404953918,0.059003570821288896
is_walk,beast,4,18314,0.2612820670894123,0.27689199519493285
is_walk,beast,5,18317,0.44145198134619945,0.46639733580826553
is_walk,recency,0,93885,0.0009630767414913639,0.0014592320391968899
is_walk,recency,1,17354,0.014707166135471027,0.013887288233260343
is_walk,recency,2,26789,0.020798233046169547,0.01959759602822054
is_walk,recency,3,8639,0.09998299099628856,0.10429447852760736
is_walk,recency,4,18391,0.2561654316697729,0.2752976999619379
is_walk,recency,5,18187,0.4571909284308752,0.4680266124154616
is_walk,recent365,0,114203,0.0035673622256591022,0.004316874337801984
is_walk,recent365,1,20561,0.020021641746066687,0.01746024026068771
is_walk,recent365,2,12548,0.09265832372953858,0.09379980873445967
is_walk,recent365,3,17612,0.2618653348012241,0.27645923234158526
is_walk,recent365,4,18321,0.4256840992008607,0.4629114131324709
