mlbam_id,name,pos,team,IP,GS,G,W,L,ERA,WHIP,K9,BB9,K,BB,H_allowed,HR_allowed,role
687911,Bryan King,P,HOU,13.7,0,12,0,1,3.29,1.32,8.56,3.29,13,5,13,0,RP
641329,Bryan Baker,P,TB,13.7,0,15,1,0,2.63,0.88,9.88,1.98,15,3,9,1,RP
573009,Joe Mantiply,P,TOR,13.7,0,13,1,0,2.63,1.24,10.54,1.98,16,3,14,1,RP
668390,Cole Winn,P,TEX,13.7,0,15,2,1,5.27,1.32,10.54,3.95,16,6,12,3,RP
663855,Jordan Hicks,P,CWS,13.7,0,15,0,1,3.95,2.05,5.27,7.90,8,12,16,0,RP
573124,Taylor Rogers,P,MIN,13.7,0,15,0,1,5.27,1.76,6.59,3.95,10,6,18,0,RP
669711,Greg Weissert,P,BOS,13.7,0,15,0,1,5.27,1.54,11.85,2.63,18,4,17,4,RP
688158,David Morgan,P,SD,13.3,0,11,2,0,6.08,2.10,10.13,7.43,15,11,17,2,RP
681892,Kody Funderburk,P,MIN,13.3,0,16,1,1,2.03,1.35,5.40,6.75,8,10,8,1,RP
682254,Mason Montgomery,P,PIT,13.3,2,14,1,0,3.38,1.35,14.85,4.73,22,7,11,1,SP
681402,Gus Varland,P,WSH,13.3,0,14,0,0,3.38,1.35,9.45,2.03,14,3,15,1,RP
680730,Mitchell Parker,P,WSH,13.3,0,6,2,0,4.05,1.13,8.10,2.70,12,4,11,1,RP
678022,Jack Perkins,P,ATH,13.3,0,8,2,0,2.70,1.05,11.48,2.03,17,3,11,0,RP
621383,Tanner Banks,P,PHI,13.3,0,14,0,2,6.08,2.25,10.80,5.40,16,8,22,1,RP
657044,Ryan Thompson,P,AZ,13.3,0,18,2,0,3.38,1.13,4.73,4.05,7,6,9,2,RP
677961,Cole Wilcox,P,SEA,13.3,0,11,0,0,5.40,2.18,10.13,8.10,15,12,17,1,RP
666808,Camilo Doval,P,NYY,13.0,0,15,1,0,6.23,1.08,10.38,2.08,15,3,11,3,RP
675660,Shane Drohan,P,MIL,13.0,1,5,1,1,4.15,1.46,6.92,4.15,10,6,13,0,SP
572955,Pierce Johnson,P,CIN,13.0,0,15,1,1,4.15,1.46,9.00,2.77,13,4,15,2,RP
669622,Anthony Bender,P,MIA,13.0,0,15,1,0,4.85,1.46,11.08,5.54,16,8,11,0,RP
676534,Calvin Faucher,P,MIA,13.0,0,15,2,2,4.15,1.62,10.38,8.31,15,12,9,0,RP
519141,Drew Pomeranz,P,LAA,12.7,0,14,0,3,8.53,1.74,7.11,4.97,10,7,15,4,RP
548384,Brooks Raley,P,NYM,12.7,0,14,0,1,1.42,0.87,11.37,2.84,16,4,7,1,RP
518585,Fernando Cruz,P,NYY,12.7,0,16,3,0,2.84,1.50,13.50,6.39,19,9,10,2,RP
665622,Luis Medina,P,ATH,12.7,0,9,1,1,2.13,1.26,7.82,4.97,11,7,9,1,RP
669270,Joel Kuhnel,P,ATH,12.7,0,12,0,1,2.13,1.11,3.55,2.84,5,4,10,0,RP
689147,Orion Kerkering,P,PHI,12.7,0,13,0,0,2.13,1.18,6.39,4.26,9,6,9,1,RP
672582,Angel Zerpa,P,MIL,12.7,0,12,0,2,6.39,1.74,5.68,4.26,8,6,16,2,RP
657097,Jacob Webb,P,CHC,12.7,0,14,0,1,4.26,1.82,10.66,4.97,15,7,16,3,RP
677955,Jaden Hill,P,COL,12.7,0,15,0,1,4.26,1.82,10.66,6.39,15,9,14,1,RP
677161,Zack Kelly,P,BOS,12.7,0,12,0,2,3.55,1.11,7.11,2.84,10,4,10,1,RP
669438,Mason Englert,P,TB,12.7,1,9,0,1,7.11,1.82,7.11,2.84,10,4,19,4,SP
682842,Abner Uribe,P,MIL,12.3,0,14,1,1,3.65,1.05,10.22,2.19,14,3,10,1,RP
689254,Mason Fluharty,P,TOR,12.3,1,18,1,0,6.57,1.62,12.41,5.11,17,7,13,1,SP
670167,John Schreiber,P,KC,12.3,0,14,0,2,4.38,1.54,3.65,5.84,5,8,11,2,RP
650556,Bryan Abreu,P,HOU,12.3,0,13,1,2,9.49,2.35,14.59,11.68,20,16,13,4,RP
642100,Gabe Speier,P,SEA,12.3,0,15,0,2,2.92,1.54,8.76,3.65,12,5,14,1,RP
656848,Michael Petersen,P,MIA,12.3,0,11,1,1,3.65,1.14,9.49,3.65,13,5,9,1,RP
607481,Aaron Bummer,P,ATL,12.0,0,16,1,1,5.25,1.67,8.25,3.75,11,5,15,4,RP
815083,Mitch Farris,P,LAA,12.0,0,5,0,0,2.25,1.58,6.75,3.00,9,4,15,1,RP
666974,Yennier Cano,P,BAL,12.0,0,17,1,1,1.50,0.58,8.25,0.75,11,1,6,1,RP
677053,Andrew Nardi,P,MIA,12.0,0,14,2,1,6.00,1.75,10.50,6.75,14,9,12,2,RP
656730,Trevor Megill,P,MIL,12.0,0,13,0,2,6.00,1.25,9.75,3.75,13,5,10,0,RP
694918,Blade Tidwell,P,SF,12.0,0,8,0,0,3.00,1.08,7.50,2.25,10,3,10,1,RP
547973,Aroldis Chapman,P,BOS,11.7,0,12,0,1,0.77,0.86,10.80,2.31,14,3,7,0,RP
681911,Alex Vesia,P,LAD,11.7,0,14,0,0,1.54,0.86,11.57,4.63,15,6,4,0,RP
682995,Hunter Barco,P,PIT,11.7,0,5,0,1,7.71,1.97,6.17,6.94,8,9,14,3,RP
663485,Cole Sands,P,MIN,11.7,0,12,1,1,4.63,1.37,8.49,3.09,11,4,12,2,RP
683742,Jose Franco,P,CIN,11.7,0,6,0,0,5.40,1.89,8.49,6.17,11,8,14,2,RP
621237,José Alvarado,P,PHI,11.7,0,16,0,1,6.17,2.06,10.80,4.63,14,6,18,0,RP
675989,Cody Bolton,P,HOU,11.7,3,5,0,1,4.63,1.80,10.80,6.94,14,9,12,1,SP
664991,Grant Wolfram,P,BAL,11.7,0,14,1,1,4.63,1.54,13.89,0.77,18,1,17,0,RP
623149,Paul Sewald,P,AZ,11.7,0,14,0,3,3.86,0.77,11.57,2.31,15,3,6,3,RP
683232,Nick Mears,P,KC,11.7,0,13,2,1,2.31,1.11,6.94,5.40,9,7,6,0,RP
676684,Will Vest,P,DET,11.7,0,13,1,3,6.17,1.46,10.03,4.63,13,6,11,1,RP
694851,Andrew Hoffmann,P,AZ,11.7,0,8,1,0,7.71,2.06,9.26,6.17,12,8,16,3,RP
669062,Erik Miller,P,SF,11.3,0,12,0,0,3.18,1.24,13.50,4.76,17,6,8,0,RP
666374,Matt Brash,P,SEA,11.3,0,14,2,0,0.00,0.44,6.35,1.59,8,2,3,0,RP
681217,Chase Silseth,P,LAA,11.3,0,16,0,0,3.18,1.85,7.94,7.94,10,10,11,1,RP
681895,Evan Sisk,P,PIT,11.3,0,9,0,0,2.38,1.24,12.71,3.18,16,4,10,0,RP
656234,Jake Bird,P,NYY,11.3,0,13,1,1,5.56,1.32,9.53,2.38,12,3,12,1,RP
665152,Dean Kremer,P,BAL,11.0,2,2,0,1,4.09,0.91,13.09,1.64,16,2,8,4,SP
642207,Devin Williams,P,NYM,11.0,0,13,1,1,6.55,1.91,14.73,4.91,18,6,15,1,RP
657756,Connor Seabold,P,DET,11.0,0,8,1,0,4.09,1.55,9.00,4.09,11,5,12,2,RP
687606,Paxton Schultz,P,WSH,11.0,0,8,0,0,3.27,1.18,9.00,0.82,11,1,12,2,RP
701719,Tyler Samaniego,P,BOS,11.0,0,9,0,0,0.00,1.18,6.55,4.09,8,5,8,0,RP
642232,Ryan Yarbrough,P,NYY,11.0,0,7,0,0,4.09,1.09,6.55,3.27,8,4,8,1,RP
554430,Zack Wheeler,P,PHI,11.0,2,2,1,0,2.45,1.00,11.45,4.09,14,5,6,0,SP
800311,Didier Fuentes,P,ATL,10.7,1,5,1,0,4.22,1.13,10.13,2.53,12,3,9,1,SP
686613,Hunter Brown,P,HOU,10.7,2,2,1,0,0.84,1.03,14.34,5.06,17,6,5,0,SP
664854,Ryan Helsley,P,BAL,10.7,0,12,0,2,2.53,1.31,12.66,5.91,15,7,7,0,RP
663767,Chase Shugart,P,PHI,10.7,0,10,2,0,0.84,1.03,7.59,1.69,9,2,9,1,RP
646241,Enmanuel De Jesus,P,DET,10.7,0,8,1,0,8.44,2.53,10.13,6.75,12,8,19,0,RP
678368,Valente Bellozo,P,COL,10.7,0,3,0,1,7.59,1.59,6.75,5.91,8,7,10,5,RP
542888,Shawn Armstrong,P,CLE,10.7,0,12,1,0,4.22,1.41,10.97,5.91,13,7,8,2,RP
683618,Edgardo Henriquez,P,LAD,10.3,0,11,1,0,5.23,1.45,8.71,5.23,10,6,9,1,RP
690925,Clayton Beeter,P,WSH,10.3,0,10,1,0,3.48,1.26,7.84,6.97,9,8,5,2,RP
682120,Tim Herrin,P,CLE,10.3,0,13,0,1,0.00,1.35,4.35,5.23,5,6,8,0,RP
621366,Ryan Borucki,P,SF,10.3,0,12,0,1,5.23,1.65,7.84,3.48,9,4,13,2,RP
669212,Eli Morgan,P,KC,10.3,0,7,0,1,2.61,1.35,7.84,5.23,9,6,8,2,RP
670059,Colin Holderman,P,CLE,10.0,0,6,0,0,1.80,0.80,7.20,1.80,8,2,6,1,RP
608371,Lucas Sims,P,CWS,10.0,0,9,0,2,4.50,1.60,9.00,6.30,10,7,9,1,RP
685801,Hunter Bigge,P,TB,10.0,0,9,0,0,3.60,1.20,7.20,6.30,8,7,5,1,RP
615698,Cal Quantrill,P,TEX,10.0,0,4,1,0,4.50,1.30,8.10,3.60,9,4,9,1,RP
595014,Blake Treinen,P,LAD,10.0,0,13,1,1,3.60,1.40,10.80,2.70,12,3,11,2,RP
